1	-6	â€”	.80	--
2	-4	--	.60	--
3	-3	--	.50	--
4	-2	--	.45	--
5	-1	--	.40	--
6	-1	--	.35	--
7	-1	--	.30	--
8	0	--	.25	--
9	0	--	.20	--
10	0	--	.15	--
11	0	--	.10	--
12	0	--	.5	--
13	0	[1]	0	--
14	0	[1]	0	--
15	1	[2]	0	--
16	2	[2]	0	--
17	3	[3]	0	--
18	4	[4]	0	--
19	4	[1,3] 	0	cause fear, charm person, command, friends, hypnotism
20	4	[2,4] 	0	forget, hold person, ray of enfeeblement, scare
21	4	[3,5] 	0	fear
22	4	[4,5] 	0	charm monster, confusion, emotion, fumble, suggestion
23	4	[1,6] 	0	chaos, feeblemind, hold monster, magic jar, quest
24	4	[5,6] 	0	geas, mass suggestion, rod of rulership
25	4	[6,7] 	0	antipathy/sympathy, death spell, mass charm